airport_ident,type,name,iso_country,iso_region,municipality
03MS,heliport,Vicksburg Medical Center Heliport,US,US-MS,Vicksburg
03MU,small_airport,McDonnell Airport,US,US-MO,Archie
03N,small_airport,Utirik Airport,MH,MH-UTI,Utirik Island
03NC,small_airport,Pilots Ridge Airport,US,US-NC,Carolina Beach
03ND,small_airport,Olafson Brothers Airport,US,US-ND,Edinburg
03NE,small_airport,Hyde Ranch Airport,US,US-NE,Comstock
03NH,heliport,Lorden Heliport,US,US-NH,Milford
03NV,small_airport,Llama Ranch Airport,US,US-NV,Ruby Valley
03NY,small_airport,Talmage Field,US,US-NY,Riverhead
03OH,small_airport,Gibbs Field,US,US-OH,Fremont
03OI,heliport,"Cleveland Clinic, Marymount Hospital Heliport",US,US-OH,Garfield Heights
03OK,small_airport,Sahoma Lake Airport,US,US-OK,Sapulpa
03OL,small_airport,Bluebird Airport,US,US-OK,Alex
03OR,small_airport,Powwatka Ridge Airport,US,US-OR,Troy
03PA,heliport,Collegeville Heliport,US,US-PA,Collegeville
03PN,heliport,M.P. Metals Heliport,US,US-PA,Berwick
03PR,small_airport,Sun View Field Airport,US,US-KS,Bonner Springs
03PS,closed,Ziggy's Field,US,US-PA,Bellefonte
03S,small_airport,Sandy River Airport,US,US-OR,Sandy
03SC,heliport,Seacoast Medical Center Heliport,US,US-SC,Little River
03TE,small_airport,Barronena Ranch Airport,US,US-TX,Hebbronville
03TN,heliport,Eagles Landing Heliport,US,US-TN,Sevierville
03TS,heliport,Shannon Medical Center Heliport,US,US-TX,San Angelo
03TT,small_airport,Brazos Polo Airport,US,US-TX,Orchard
03TX,heliport,M D K Field Heliport,US,US-TX,Pearland
03UT,small_airport,AZ Minerals Corporation Airport,US,US-UT,Mexican Hat
03WA,small_airport,Spangle Field,US,US-WA,Spangle
03WI,closed,Zink Airport,US,US-WI,Berlin
03WN,small_airport,Aerostone Ranch Airport,US,US-WA,Goldendale
03XA,heliport,Del Sol Medical Center Heliport,US,US-TX,El Paso
03XS,small_airport,Creekside Airport,US,US-TX,Mertzon
04AA,small_airport,Flying W Ranch Airport,US,US-AK,Soldotna
04AL,heliport,Anniston AHP (Anniston Army Depot),US,US-AL,Anniston
04AR,heliport,Saline Memorial Hospital Heliport,US,US-AR,Benton
04CL,small_airport,Hunt's Sky Ranch Airport,US,US-CA,Julian
04CT,heliport,Shingle Mill Heliport,US,US-CT,Harwinton
04F,closed,De Leon Municipal Airport,US,US-TX,De Leon
04FA,small_airport,Richards Field,US,US-FL,Homestead
04FL,small_airport,Cross Creek Farms Airport,US,US-FL,Ormond Beach
04I,small_airport,Columbus Southwest Airport,US,US-OH,Columbus
04IA,small_airport,Middlekoop Airport,US,US-IA,Packwood
04ID,small_airport,Lanham Field,US,US-ID,Emmett
04II,closed,Turkey Run Airport,US,US-IN,New Haven
04IL,small_airport,Schertz Aerial Service - Hudson Airport,US,US-IL,Hudson
04IN,seaplane_base,Lake Gage Seaplane Base,US,US-IN,Angola
